Stock_X,Stock_Y,Correlation,GrangerDirection,PValue,Lag
AAPL,AMD,0.5617026081671798,AAPL→AMD,0.0014871825882877329,1.0
AAPL,AMZN,0.5922000075925707,AAPL→AMZN,0.0003536388049964353,1.0
AAPL,COST,0.5642385233997181,AAPL→COST,0.00465224853577441,2.0
AAPL,GOOGL,0.6489315185753938,AAPL→GOOGL,0.005017544153102109,1.0
AAPL,HD,0.5564648196889077,AAPL→HD,1.4974356005323693e-05,1.0
AAPL,LOW,0.5183369855146642,AAPL→LOW,0.0005378923597833276,3.0
AAPL,MA,0.5920514194880651,AAPL→MA,0.0048814762851520435,1.0
AAPL,META,0.5631163472812687,AAPL→META,0.000970103215956632,1.0
AAPL,MSFT,0.7483270464668272,AAPL→MSFT,0.009254199230446751,3.0
AAPL,NVDA,0.6063989072678099,AAPL→NVDA,0.0021186847704952306,1.0
AAPL,PLD,0.5358899368967539,AAPL→PLD,0.00012559803424009807,1.0
AAPL,V,0.5843087937522288,AAPL→V,0.01778946250611909,3.0
AMD,AMZN,0.5482420578188671,None,,
AMD,GOOGL,0.5475951156955765,GOOGL→AMD,0.01870461745654755,1.0
AMD,MSFT,0.6035547421647085,MSFT→AMD,0.03906905414161666,1.0
AMD,NVDA,0.7469816258944925,None,,
AMT,DUK,0.6257611961043481,AMT→DUK,0.04058551246823603,3.0
AMT,HD,0.5278368745122035,AMT→HD,0.00030541778302503234,1.0
AMT,JNJ,0.5048821889605956,JNJ→AMT,0.00204579364496432,2.0
AMT,KO,0.5374304087006104,KO→AMT,4.59444728115883e-06,2.0
AMT,NEE,0.5918909396263906,NEE→AMT,0.002157843641128999,3.0
AMT,PEP,0.547676287688497,PEP→AMT,6.812396278554611e-06,3.0
AMT,PG,0.5157776119464322,AMT→PG,0.0065798766719027115,3.0
AMT,PLD,0.6966803749888767,AMT→PLD,0.02970429621224977,1.0
AMZN,GOOGL,0.6471958610223049,GOOGL→AMZN,0.005704234188917155,3.0
AMZN,META,0.6089912073278672,META→AMZN,1.5913519732570619e-06,1.0
AMZN,MSFT,0.6784999336712793,None,,
AMZN,NFLX,0.5384327552973892,None,,
AMZN,NVDA,0.5797439086350287,None,,
BA,BAC,0.556950193421064,BA→BAC,0.029601517050916973,1.0
BA,CVX,0.5196787696019243,BA→CVX,0.030008722891610225,3.0
BA,DIS,0.505246794904984,BA→DIS,0.02432820109387417,3.0
BA,F,0.5167832762538481,BA→F,0.0008735523460598952,2.0
BA,FCX,0.5015242436979219,BA→FCX,0.027377140410579863,3.0
BA,GM,0.5563521640940878,BA→GM,0.04672691997591275,2.0
BA,GS,0.5591984769968497,BA→GS,0.022336733137428327,1.0
BA,JPM,0.5723143795220368,BA→JPM,0.02164846790191596,1.0
BA,MA,0.5376374568472714,BA→MA,0.0015654633998828358,2.0
BA,MS,0.5509088721499488,BA→MS,0.0238477366070047,1.0
BA,WFC,0.5512974049349355,BA→WFC,0.040007834947295456,1.0
BAC,CAT,0.6529322600112101,BAC→CAT,0.002512183223873768,3.0
BAC,CVX,0.6355092613648453,BAC→CVX,0.0014222649023313163,3.0
BAC,DIS,0.5826487162277089,None,,
BAC,F,0.58243818084396,None,,
BAC,FCX,0.5603157269064917,BAC→FCX,0.0009322033110598134,1.0
BAC,GM,0.6358548418340987,None,,
BAC,GS,0.8278863000103609,BAC→GS,0.01895643677605843,1.0
BAC,HD,0.5112579619304496,BAC→HD,5.391300507725373e-08,2.0
BAC,JPM,0.8949371380544103,JPM→BAC,0.008779228314466862,2.0
BAC,KO,0.5164632487419449,BAC→KO,2.713741028795949e-05,2.0
BAC,MA,0.5906366066381077,BAC→MA,0.004068927462475414,2.0
BAC,MS,0.8279793626771974,MS→BAC,0.03045617112075743,3.0
BAC,T,0.5280138136145454,BAC→T,0.001968726585048914,2.0
BAC,UNP,0.6202643525095938,BAC→UNP,0.0007332328661216296,3.0
BAC,V,0.6001668165718569,BAC→V,0.0001887818319883544,2.0
BAC,WFC,0.8631642829800162,None,,
BAC,XOM,0.5957309864591875,BAC→XOM,1.896601771962964e-06,3.0
CAT,CVX,0.5958456748873369,CVX→CAT,0.037667247194716535,1.0
CAT,F,0.5311839875421959,None,,
CAT,FCX,0.6281180157496484,CAT→FCX,0.01012633559049722,1.0
CAT,GM,0.5397865869571649,CAT→GM,0.03449016914360372,1.0
CAT,GS,0.6437394836576807,GS→CAT,0.003170002529848157,2.0
CAT,JPM,0.6321212993707038,JPM→CAT,0.00022952957761431764,2.0
CAT,MA,0.5024813693109272,None,,
CAT,MS,0.6497250694414067,MS→CAT,0.002449011553759724,2.0
CAT,UNP,0.5740878816925786,UNP→CAT,0.00022550867301717915,3.0
CAT,WFC,0.5863324927768159,WFC→CAT,0.001228002223653523,3.0
CAT,XOM,0.5890422196872205,CAT→XOM,0.0037223959025303108,2.0
COST,HD,0.5419012157004769,COST→HD,0.004245620537616285,1.0
COST,MSFT,0.5826243653875646,COST→MSFT,0.02769579215840914,3.0
COST,PEP,0.5229580294845307,PEP→COST,2.9208017523390504e-06,2.0
COST,PG,0.5094347099289486,PG→COST,0.015583242833294876,2.0
COST,WMT,0.6047727073060317,None,,
CVS,UNH,0.5687614513180708,CVS→UNH,0.005264190777202122,2.0
CVX,FCX,0.606387724203084,CVX→FCX,8.016955501989328e-06,1.0
CVX,GM,0.5373807899831151,CVX→GM,0.0185691712696547,1.0
CVX,GS,0.5999936623740771,CVX→GS,8.830655966633215e-05,2.0
CVX,JPM,0.6333676659922628,JPM→CVX,0.00391007167648405,1.0
CVX,MA,0.5073402951426416,CVX→MA,0.003816942220719279,3.0
CVX,MS,0.6262940031344931,CVX→MS,0.000499792466636953,1.0
CVX,UNP,0.5733239264558969,UNP→CVX,0.009194695988504052,3.0
CVX,V,0.5161462502843215,CVX→V,0.004205598739179494,3.0
CVX,WFC,0.5643082201873,CVX→WFC,0.0033089838659713,3.0
CVX,XOM,0.8554524956776663,CVX→XOM,8.7202160478226e-08,2.0
DIS,GM,0.5252866571489067,None,,
DIS,GS,0.5748531400571085,GS→DIS,0.027452082148793293,2.0
DIS,JPM,0.5647698377317961,JPM→DIS,0.002350398255097081,2.0
DIS,MA,0.612172991715705,None,,
DIS,MS,0.5834919472690578,None,,
DIS,UNP,0.5035780612634375,UNP→DIS,0.0007818682278193376,3.0
DIS,V,0.5813476355161461,None,,
DIS,WFC,0.5154517043765237,WFC→DIS,0.025031886468796463,2.0
DUK,JNJ,0.5711430123289234,None,,
DUK,KO,0.6661779016477601,None,,
DUK,LMT,0.5309613463135638,DUK→LMT,0.013905142684038791,2.0
DUK,NEE,0.7033923186590338,None,,
DUK,PEP,0.6612565913943169,PEP→DUK,0.005441176105349136,1.0
DUK,PG,0.6172844880898543,DUK→PG,5.95102509390773e-05,2.0
DUK,PLD,0.5969496114700041,DUK→PLD,3.655262246178397e-05,3.0
DUK,T,0.5281095093890177,T→DUK,0.00894685609103057,3.0
DUK,UNH,0.5002430247326523,DUK→UNH,0.021150224513030273,2.0
DUK,VZ,0.5060459880137169,DUK→VZ,0.019458048958961967,2.0
F,FCX,0.500194430635392,None,,
F,GM,0.7858344422324903,GM→F,0.0001608223273760819,3.0
F,GS,0.5836380491682669,None,,
F,JPM,0.5630595842379762,F→JPM,0.005630324343148194,1.0
F,MS,0.583444574529447,None,,
F,WFC,0.5439890275131775,None,,
FCX,GM,0.5553557765826835,None,,
FCX,GS,0.5775158845225226,GS→FCX,0.03139103629462351,3.0
FCX,JPM,0.5399880960509149,FCX→JPM,0.013931782922624156,1.0
FCX,MA,0.5130263627000524,MA→FCX,0.015899337688968482,1.0
FCX,MS,0.5879069320488041,FCX→MS,0.034834234321748585,3.0
FCX,UNP,0.5277934220857544,UNP→FCX,3.7476480915227176e-06,2.0
FCX,WFC,0.5055711588037473,WFC→FCX,0.008176168157018035,3.0
FCX,XOM,0.5694124522109303,FCX→XOM,5.7150851177065856e-05,2.0
FDX,UNP,0.5132847997727557,UNP→FDX,0.0009433628835697723,3.0
FDX,UPS,0.5963361815158655,FDX→UPS,0.0019963238158401076,1.0
GM,GS,0.6444786796235865,None,,
GM,HD,0.5270306609210456,GM→HD,0.005647780684905766,2.0
GM,JPM,0.6207361394526262,GM→JPM,0.003648585115128078,1.0
GM,LOW,0.540508164206509,None,,
GM,MA,0.5254942371041158,None,,
GM,MS,0.6225435974689948,MS→GM,0.011420680322365285,2.0
GM,UNP,0.5381746899192853,None,,
GM,V,0.5065434048673022,None,,
GM,WFC,0.5849946699243378,WFC→GM,0.0021269065181163576,2.0
GOOGL,MA,0.5590718653775146,MA→GOOGL,0.017195541883185398,1.0
GOOGL,META,0.6409760110284843,None,,
GOOGL,MSFT,0.7461813462769206,GOOGL→MSFT,0.032882633768277054,3.0
GOOGL,NVDA,0.594137355266634,GOOGL→NVDA,0.000502554060304022,1.0
GOOGL,V,0.5466065173353997,V→GOOGL,0.0039105072848939935,1.0
GS,HD,0.5566310201879717,GS→HD,1.735843150167949e-07,2.0
GS,JPM,0.8284273554366909,GS→JPM,0.0465334328324707,2.0
GS,LOW,0.541355450463166,GS→LOW,0.00016687208866881652,2.0
GS,MA,0.5979744054920562,GS→MA,0.022385116204326202,2.0
GS,MS,0.8685458850116607,MS→GS,0.024655712363120225,3.0
