Ticker,Stockholder,SharesHeld,pctHeld,DateReported
AAPL,Vanguard Group Inc,1395785512,0.0929,2024-12-31
AAPL,Blackrock Inc.,1123417607,0.0748,2024-12-31
AAPL,State Street Corporation,595501507,0.0396,2024-12-31
AAPL,"FMR, LLC",341640974,0.0227,2024-12-31
AAPL,"Geode Capital Management, LLC",340164913,0.0226,2024-12-31
AAPL,"Berkshire Hathaway, Inc",300000000,0.02,2024-12-31
AAPL,Morgan Stanley,238264141,0.0159,2024-12-31
AAPL,Price (T.Rowe) Associates Inc,220107535,0.0147,2024-12-31
AAPL,NORGES BANK,187160162,0.0125,2024-12-31
AAPL,JPMORGAN CHASE & CO,183008151,0.012200001,2024-12-31
AMD,Vanguard Group Inc,150210152,0.0929,2024-12-31
AMD,Blackrock Inc.,131025620,0.081099994,2024-12-31
AMD,State Street Corporation,71320801,0.044099998,2024-12-31
AMD,"Geode Capital Management, LLC",35079256,0.0217,2024-12-31
AMD,Morgan Stanley,30755582,0.019,2024-12-31
AMD,"Fisher Asset Management, LLC",24086020,0.0149,2024-12-31
AMD,NORGES BANK,23737003,0.0147,2024-12-31
AMD,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",21401436,0.013200001,2024-12-31
AMD,Price (T.Rowe) Associates Inc,17893743,0.0111,2024-12-31
AMD,Northern Trust Corporation,17155522,0.0106,2024-12-31
AMT,Vanguard Group Inc,62375368,0.13319999,2024-12-31
AMT,Blackrock Inc.,43047252,0.092,2024-12-31
AMT,State Street Corporation,21127088,0.045100003,2024-12-31
AMT,Cohen & Steers Inc.,19176365,0.040999997,2024-12-31
AMT,"Geode Capital Management, LLC",11342805,0.0242,2024-12-31
AMT,"FMR, LLC",11179269,0.0239,2024-12-31
AMT,Capital Research Global Investors,8563046,0.0183,2024-12-31
AMT,"Wellington Management Group, LLP",8084243,0.0173,2024-12-31
AMT,Morgan Stanley,7806489,0.0167,2024-12-31
AMT,Deutsche Bank Aktiengesellschaft,7098173,0.0152,2024-12-31
AMZN,Vanguard Group Inc,823360597,0.0776,2024-12-31
AMZN,Blackrock Inc.,688589448,0.064899996,2024-12-31
AMZN,State Street Corporation,364859027,0.0344,2024-12-31
AMZN,"FMR, LLC",328464225,0.031,2024-12-31
AMZN,"Geode Capital Management, LLC",204930426,0.019299999,2024-12-31
AMZN,Price (T.Rowe) Associates Inc,182813905,0.0172,2024-12-31
AMZN,JPMORGAN CHASE & CO,182880869,0.0172,2024-12-31
AMZN,Morgan Stanley,167149717,0.015800001,2024-12-31
AMZN,NORGES BANK,124283614,0.0117,2024-12-31
AMZN,Northern Trust Corporation,97076276,0.0092,2024-12-31
BA,Vanguard Group Inc,64442717,0.0859,2024-12-31
BA,Blackrock Inc.,49433092,0.0659,2024-12-31
BA,Capital Research Global Investors,38667054,0.051599998,2024-12-31
BA,State Street Corporation,33925238,0.0452,2024-12-31
BA,"Newport Trust Company, LLC",30700732,0.040900003,2024-12-31
BA,"FMR, LLC",30501072,0.040700004,2024-12-31
BA,Capital World Investors,22188362,0.0296,2024-12-31
BA,Price (T.Rowe) Associates Inc,18151079,0.0242,2024-12-31
BA,"Geode Capital Management, LLC",15171869,0.0202,2024-12-31
BA,LOOMIS SAYLES & CO L P,14693166,0.0196,2024-12-31
BAC,"Berkshire Hathaway, Inc",680233587,0.089499995,2024-12-31
BAC,Vanguard Group Inc,657834864,0.0865,2024-12-31
BAC,Blackrock Inc.,522691367,0.0687,2024-12-31
BAC,State Street Corporation,294818145,0.0388,2024-12-31
BAC,"FMR, LLC",193353875,0.0254,2024-12-31
BAC,JPMORGAN CHASE & CO,169883556,0.0223,2024-12-31
BAC,"Geode Capital Management, LLC",142289199,0.0187,2024-12-31
BAC,Morgan Stanley,125205762,0.0165,2024-12-31
BAC,Price (T.Rowe) Associates Inc,122437422,0.0161,2024-12-31
BAC,NORGES BANK,118930358,0.0156,2024-12-31
CAT,Vanguard Group Inc,46809540,0.0979,2024-12-31
CAT,State Street Corporation,36631309,0.0766,2024-12-31
CAT,Blackrock Inc.,35517697,0.0743,2024-12-31
CAT,State Farm Mutual Automobile Insurance Co,17734370,0.037100002,2024-12-31
CAT,Capital World Investors,16399502,0.0343,2024-12-31
CAT,"Geode Capital Management, LLC",10449770,0.0219,2024-12-31
CAT,"Fisher Asset Management, LLC",9081775,0.019,2024-12-31
CAT,Morgan Stanley,7517464,0.015700001,2024-12-31
CAT,Gates Foundation Trust,7353614,0.0154,2024-12-31
CAT,Northern Trust Corporation,6847330,0.0143,2024-12-31
COST,Vanguard Group Inc,42201610,0.0951,2024-12-31
COST,Blackrock Inc.,34761491,0.0783,2024-12-31
COST,State Street Corporation,18085371,0.040799998,2024-12-31
COST,"Geode Capital Management, LLC",9739175,0.022,2024-12-31
COST,Morgan Stanley,9574648,0.0216,2024-12-31
COST,"FMR, LLC",9457824,0.021300001,2024-12-31
COST,Bank of America Corporation,6821434,0.0154,2024-12-31
COST,NORGES BANK,5655883,0.0127,2024-12-31
COST,Northern Trust Corporation,5257809,0.0119,2024-12-31
COST,Bank Of New York Mellon Corporation,4332833,0.0098,2024-12-31
CVS,Vanguard Group Inc,117366367,0.093100004,2024-12-31
CVS,Blackrock Inc.,105965842,0.084,2024-12-31
CVS,Dodge & Cox Inc,70105899,0.0556,2024-12-31
CVS,Capital World Investors,61039777,0.0484,2024-12-31
CVS,State Street Corporation,56952959,0.0452,2024-12-31
CVS,"FMR, LLC",28133050,0.0223,2024-12-31
CVS,"Geode Capital Management, LLC",27051540,0.0215,2024-12-31
CVS,Capital International Investors,26666401,0.0212,2024-12-31
CVS,Pzena Investment Management LLC,19610579,0.0156,2024-12-31
CVS,NORGES BANK,18702928,0.0148,2024-12-31
DIS,Vanguard Group Inc,153416274,0.0849,2024-12-31
DIS,Blackrock Inc.,129798330,0.0718,2024-12-31
DIS,State Street Corporation,77965416,0.0431,2024-12-31
DIS,Morgan Stanley,41088426,0.0227,2024-12-31
DIS,"Geode Capital Management, LLC",38482309,0.021300001,2024-12-31
DIS,"FMR, LLC",32786865,0.018099999,2024-12-31
DIS,State Farm Mutual Automobile Insurance Co,29429100,0.0163,2024-12-31
DIS,JPMORGAN CHASE & CO,28507939,0.015800001,2024-12-31
DIS,Northern Trust Corporation,22242415,0.0123000005,2024-12-31
DIS,NORGES BANK,21692209,0.012,2024-12-31
FDX,Vanguard Group Inc,20199506,0.084300004,2024-12-31
